PROD_CATEGORY,CATEGORY_DESC,PPG_ID,PPG_DESC
001,Recipe Cheese,001000100001DS5,250G Velveeta Loaf
001,Recipe Cheese,001000100001DS6,450G/500G Velveeta Loaf
001,Recipe Cheese,001000100001DS7,900G/1KG Velveeta Loaf
001,Recipe Cheese,0010220000794XF,CHEESE WHIZ 900G MODULAR/DISPLAY
001,Recipe Cheese,0010220000795TA,CHEESE WHIZ 450G MODULAR/DISPLAY
001,Recipe Cheese,001022000079DS2,1KG Cheez Whiz
001,Recipe Cheese,001022000079DS3,250G Cheez Whiz
001,Recipe Cheese,001022000079DS4,500G Cheez Whiz
001,Recipe Cheese,001022000079PS8,450g Cheese Whiz
001,Recipe Cheese,001022000079PS9,900g Cheese Whiz
001,Recipe Cheese,001022000079WK8,Cheez Whiz Modular/Display
001,Recipe Cheese,0011519031331QX,Processd Chse Compartment Snacks 696G
001,Recipe Cheese,0011519031331WY,Processed Chse Compartment Snacks 87G
001,Recipe Cheese,0011519031332QX,CDN Compartment Snacking MOD/DS
002,Grated Cheese,0020002000021RS,80G Grated Cheese
002,Grated Cheese,0020002000024XG,GRATED PARM 250G MODULAR/DISPLAY
002,Grated Cheese,0020002000024XH,GRATED PARM 680G MODULAR/DISPLAY
002,Grated Cheese,002000200002AB6,225-250G Grated Cheese
002,Grated Cheese,002000200002DH8,450-500G Grated Cheese
002,Grated Cheese,002000200002DH9,85G Grated Cheese
002,Grated Cheese,002000200002VL0,680G Grated Cheese
002,Grated Cheese,002000200002WK9,Grated Modular/Display
002,Grated Cheese,002000200002WZ3,225G-250G Grated Cheddar
002,Grated Cheese,002000200002X96,125G Grated Cheese
002,Grated Cheese,0020002P0002PLN,PLN SIZ Grated Cheese
002,Grated Cheese,002132203401DI1,200G Grated Fresh Parmesan Cheese
002,Grated Cheese,002132203401PL2,141G Grated Fresh Parmesan Cheese
003,Snacking Cheese,003000500223GP7,252g String Cheese
003,Snacking Cheese,003000500223PL0,126g Cheese String
003,Snacking Cheese,003000501536GP6,100g Amooza! Cheese Snack
003,Snacking Cheese,003004700030AZ2,168g Kraft Liveactive Cheese Sticks
003,Snacking Cheese,003004700030GP4,210g Kraft Liveactive Cheese Sticks
003,Snacking Cheese,003004700282GP1,168g Kraft Snacking Cheese
003,Snacking Cheese,003004700282GP2,210g Kraft Snacking Cheese
003,Snacking Cheese,003004700282HV2,650G Snacking Cheese
003,Snacking Cheese,0031225P1225PLN,PLN SIZ Compartment Snacking
003,Snacking Cheese,0031230P1230PLN,PLN SIZ Dry Snacking
003,Snacking Cheese,0031323034002KL,168g PQ Snacking Cheese
003,Snacking Cheese,0031323034003KL,210g PQ Snacking Cheese
003,Snacking Cheese,0031323034004KL,650g PQ Snacking Cheese
004,Sandwich Cheese,0040006000150XC,CDN 390G X-TRA CHEDDAR KRAFT SINGLES
004,Sandwich Cheese,0040006000151TZ,CDN 785G X-TRA CHEDDAR KRAFT SINGLES
004,Sandwich Cheese,0040006000152PQ,CDN 410G Kraft Singles Cheese
004,Sandwich Cheese,0040006000156QH,CDN 825G Kraft Singles Cheese
004,Sandwich Cheese,0040006000157QH,CDN 390G Extra Cheddar Kraft Singles
004,Sandwich Cheese,004000600015AC2,250G Kraft Singles Cheese
004,Sandwich Cheese,004000600015AN0,500G Kraft Singles Cheese
004,Sandwich Cheese,004000600015AZ7,500g Extra CheddarKraftSinglesCheese
004,Sandwich Cheese,004000600015DU9,1KG Kraft Singles Cheese
004,Sandwich Cheese,004000600015HP7,250g Extra CheddarKraftSinglesCheese
004,Sandwich Cheese,004000600015VI6,225G Kraft Singles Cheese
004,Sandwich Cheese,004000600015VI8,225G Extra Cheddar Kraft Singles Cheese
004,Sandwich Cheese,004000600015VI9,450G Kraft Singles Cheese
004,Sandwich Cheese,004000600015VJ1,450g Extra Cheddar Kraft Singles Cheese
004,Sandwich Cheese,004000600015VJ2,900G Kraft Singles Cheese
004,Sandwich Cheese,004000600015WZ4,Singles Modular/Display
004,Sandwich Cheese,004000602571VH2,1.25Kg Kraft Cheese Slices
004,Sandwich Cheese,0040209004783PQ,CDN 825G Velveeta Cheese Slices
004,Sandwich Cheese,0040209004784PQ,CDN 410G Velveeta Cheese Slices
004,Sandwich Cheese,004020900478DV0,250G Velveeta Cheese Slices
004,Sandwich Cheese,004020900478DV1,500G Velveeta Cheese Slices
004,Sandwich Cheese,004020900478VI7,225G Velveeta Cheese Slices
004,Sandwich Cheese,004020900478VJ0,450G Velveeta Cheese Slices
004,Sandwich Cheese,004020900478WJ6,900G Velveeta Cheese Slices
004,Sandwich Cheese,0041229033604KN,336G Bold Slices
004,Sandwich Cheese,0041229P1229PLN,PLN SIZ Bold Slices
006,Handi Snacks Cookie/Cracker,006001000005DI2,18.8g Handi Snacks Cookie/Cracker
006,Handi Snacks Cookie/Cracker,006001000005DI4,87G Handi Snacks Cookie/Cracker
006,Handi Snacks Cookie/Cracker,006001000005S32,Kraft Handi Snacks Grocery 1ct Size
006,Handi Snacks Cookie/Cracker,006001001467DI2,18.8g Handi Snacks Cookie/Cracker
006,Handi Snacks Cookie/Cracker,006001001468DI3,696g Handi Snacks Cookie/Cracker
006,Handi Snacks Cookie/Cracker,006001001637HV0,29g Handis Snacks Cookie/Cracker
007,KFI Dairy,007000300246HQ2,737g KFI Cheese Sauces
012,Natural Cheese,012013400285DO6,500G Kraft Natural Shredded Cheese
012,Natural Cheese,012013400285WI8,320G Kraft Natural Shreds
012,Natural Cheese,012013400285XD9,620g Kraft Natural Shreds
012,Natural Cheese,0120134P0134PLN,PLN SIZ Shreds & Crumbles Cheese
012,Natural Cheese,012056601670TJ7,907g Club Kraft Chunk Cheese
012,Natural Cheese,012056601670VG4,1.15kg Kraft Chunk
012,Natural Cheese,012056601670WY8,1.15KG Kraft X-Old Chunk Cheese 12ct
012,Natural Cheese,012056802577DO4,200G CB NATURAL SHREDDED CHEESE
012,Natural Cheese,012056802577GO9,380G CB NATURAL SHRED CHS MOZZ
012,Natural Cheese,012056802577GP0,380G CB NATURAL SHREDDED CHEESE
012,Natural Cheese,012056802577PR3,180G CB SHREDS
012,Natural Cheese,012056802577PR4,340G CB SHREDS
012,Natural Cheese,012056802577VL3,170G Grated Natural Parmesan Cheese
012,Natural Cheese,012056802577VL7,440G Kraft Natural Shredded Cheese
012,Natural Cheese,012056802577WI0,300G CB SHREDS
012,Natural Cheese,012056802577WI7,CB Shreds
012,Natural Cheese,012056802577WY6,340g CB BLENDS
012,Natural Cheese,012056802577WZ0,320G CB PQ Shreds Mozz
012,Natural Cheese,0120568P0568PLN,PLN SIZ CB PQ SHREDS&CRUMBLES
012,Natural Cheese,0120569025784PO,400G Large Kraft Block
012,Natural Cheese,012056902578WI1,450G Large Kraft Block
012,Natural Cheese,0120569P0569PLN,PLN SIZ Kraft Large Block
012,Natural Cheese,012081501669TH6,200g P'tit Chunk Cheese
012,Natural Cheese,012081502389TH4,170G Kraft Natural Chunk Cheese
012,Natural Cheese,012081502389TH5,200G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081502389WK3,250G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081502389WY5,200g Crkr Barl Chk Chs Extra Old 12ct
012,Natural Cheese,012081502389WY7,200g Kraft Natural Chk Chs Swiss 12ct
012,Natural Cheese,0120816023862QW,820G Cracker Barrel X-Old Cheese
012,Natural Cheese,0120816023867PP,820G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081602386TJ6,907G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081602386XD6,CB Chunk CHS EXTRA OLD 907g
012,Natural Cheese,012081702387TI4,400G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081702387TI5,460G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081702387TI6,460G Kraft Chunk Cheese
012,Natural Cheese,012081702387TI8,500G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081702387TJ0,540g Cracker Barrel Chunk Cheese
012,Natural Cheese,012081702387TJ1,540g Kraft Natural Chunk Cheese
012,Natural Cheese,0120817P0817PLN,PLN SIZ Large CB PQ Block
012,Natural Cheese,012081801666TI2,300g Kraft Natural Chunk Cheese
012,Natural Cheese,012081802388TH8,270G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081802388TH9,270G Kraft Chunk Cheese
012,Natural Cheese,012081802388TI1,300G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081902390TJ3,600G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081902390TJ4,700G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081902390TJ5,750G Cracker Barrel Chunk Cheese
012,Natural Cheese,012081902390WI4,650G Cracker Barrel Chunk Cheese
012,Natural Cheese,0120819P0819PLN,PLN SIZ XLarge CB PQ Block
012,Natural Cheese,012087702582XD8,KRAFT X-Large Block
012,Natural Cheese,012130801671TJ9,907g P'tit Chunk Cheese
012,Natural Cheese,012131301668TI7,460g P'tit Chunk Cheese
012,Natural Cheese,012131301668TI9,500g P'tit Chunk Cheese
012,Natural Cheese,012131301668TJ2,540g P'Tit Chunk Cheese
012,Natural Cheese,012131301668VJ3,400G P'tit Chunk Cheese
012,Natural Cheese,012131401667TI0,270g P'tit Chunk Cheese
012,Natural Cheese,012131401667TI3,300g P'tit Chunk Cheese
012,Natural Cheese,0121317033936KK,360G/400G PQ Natural Slices
012,Natural Cheese,0121317033937KK,200G - 240G PQ Natural Slices
012,Natural Cheese,0121318033940KL,340g PQ Shreds & Crumbles
012,Natural Cheese,0121318033941KL,380g PQ Shreds & Crumbles
012,Natural Cheese,0121318033948KK,300g PQ Shreds & Crumbles
012,Natural Cheese,0121318033949KK,320g PQ Shreds & Crumbles
012,Natural Cheese,012132403402DU6,200G Natural Slices
012,Natural Cheese,012132403402DU7,360G/400G Natural Slices
012,Natural Cheese,012132403402HT5,200G - 240G Natural Slices
012,Natural Cheese,0121324P1324PLN,PLN SIZ CDN Natural Cheese Slices
012,Natural Cheese,0121328034061KN,900g PQ LARGE SHREDS & Crumbles
012,Natural Cheese,0121332034110KN,180G Feta
012,Natural Cheese,0121335P1335PLN,PLN SIZ XL PQ Block
012,Natural Cheese,0121516031305QI,KIRKLAND SIGNATURE CLUB BLOCK 1.15KG
016,Bacon/Breakfast Sausage,016013600323AK1,84.4G OM Bacon Bits
016,Bacon/Breakfast Sausage,016013600323HT2,80.0g OM Bacon Bits
017,Baking & MM,017002200049AL1,Bakers Bars 225G 12
017,Baking & MM,017002200049AL4,Bakers Bars 225G 24
017,Baking & MM,017002200049WY1,170g Premium Bakers Bars
017,Baking & MM,017002200049XA4,Bakers Bars Modular/Display
017,Baking & MM,017002200049XC9,225G Bakers Bars 12ct
017,Baking & MM,017002200052AL5,300G Bakers Chips
017,Baking & MM,017003600274AA5,340G Retail Caramels Stick
017,Baking & MM,017003600274AL8,269G Retail Caramels Bags
017,Baking & MM,017003600274XA7,Caramels Modular
017,Baking & MM,0170116002391VY,1.6KG JET PUFFED MARSHMALLOWS
017,Baking & MM,0170116002392VT,4X400G JET PUFFED MARSHMALLOWS MOD
017,Baking & MM,017011600239AY5,250G Jet Puffed Marshmallows
017,Baking & MM,017011600239AY7,400G Jet Puffed Marshmallows
017,Baking & MM,017011600239BA1,HFD 1KG Jet Puffed Marshmallows
017,Baking & MM,017011600239EU2,198g Jet Puffed Marshmallows
017,Baking & MM,017011600239WY0,250g Jet Puffed Marshmallows 12ct
017,Baking & MM,017012600098BC3,170G Dream Whip
017,Baking & MM,017012600098BC7,85G Dream Whip
017,Baking & MM,017012600098XA6,Dream Whip Modular/Display
017,Baking & MM,0170126014052SK,2x450G Magic Baking Powder
017,Baking & MM,0170126014059LC,2X450G BAKING POWDER
017,Baking & MM,017012601405AZ9,225G Baking Powders
017,Baking & MM,017012601405BB1,450G Baking Powders
017,Baking & MM,017012601406BB3,113G Cream Of Tartar
017,Baking & MM,017012601406BB5,57G Cream Of Tartar
017,Baking & MM,017012601409V53,HFD 180G Sweet N' Low
017,Baking & MM,017012601409V54,HFD 40GR Sweet N' Low
017,Baking & MM,017012601409V55,HFD 500G Sugar in Raw
017,Baking & MM,017012601409V56,HFD 80G Sweet N' Low
017,Baking & MM,017012601602HQ3,225g Minute Tapioca
017,Baking & MM,017012601602HQ4,340g Bird's Custard Powder
017,Baking & MM,017014100076V59,170ML Certo Liquid
017,Baking & MM,017014100076XA5,Certo Modular/Display
017,Baking & MM,017014101407V57,49G Certo Crystals
017,Baking & MM,017014101407V58,57G Certo Crystals
018,BBQ Sauce,018002300072AF8,425ML Bull's-Eye BBQ Sauce
018,BBQ Sauce,018002300072CG8,940ML Bull's-Eye BBQ Sauce
018,BBQ Sauce,018002300072HQ6,940ml Bull's-Eye BBQ Sauce Mods
018,BBQ Sauce,018002300072WY2,940ml Bull's Eye BBQ Sauce 2/6ct
018,BBQ Sauce,018002300072XA9,Bull's Eye Modular/Display
018,BBQ Sauce,018002600273BB9,455ml Kraft BBQ Sauce Mods
018,BBQ Sauce,018002600273CG9,1.86L Kraft BBQ Sauce
018,BBQ Sauce,018002600273CH0,455ML Kraft BBQ Sauce
018,BBQ Sauce,018002600273XA8,BBQ Sauce Modular/Display
018,BBQ Sauce,018078502211VI2,1.92L Garland Jack's BBQ Sauce 6ct
018,BBQ Sauce,018078502211VI4,960ML Garland Jack's BBQ Sauce
018,BBQ Sauce,018078502211XB1,1.92L Garland Jack's BBQ Sauce
018,BBQ Sauce,0180879025842AA,Diana Marinades 6 375ml
018,BBQ Sauce,0180880025853AA,Modular Diana Sauce
018,BBQ Sauce,0180880025854AA,Diana Sauce 12 500 ml
018,BBQ Sauce,0180880025858OM,Diana Sauce 3x500ml 3-Pack
018,BBQ Sauce,0180880025858QH,Diana Sauce 10x500ml
018,BBQ Sauce,0181143030253KF,Discontinued Heinz BBQ Sauce
018,BBQ Sauce,0181337034193OM,HEINZ PITMASTERS BBQ SAUCE 475ML
018,BBQ Sauce,0181337034194PP,Heinz Pitmaster BBQ Sauce 750ML
018,BBQ Sauce,0181337034195PP,Heinz Pitmaster BBQ Sauce 1.5L
018,BBQ Sauce,0181337034196PP,Heinz Pitmaster BBQ Sauce MOD/Display
019,Other Dinners,019012900355DR8,200G Pasta & Salad Dinners
019,Other Dinners,019012900355XB0,Other Dinners Modular/Display
019,Other Dinners,019012901444DR0,450G Kraft Cheese PIZZA
019,Other Dinners,019012901444DR1,850G Kraft Cheese PIZZA
019,Other Dinners,0190129031118PE,Cracker Barrel Macaroni & Cheese 349G
019,Other Dinners,0190129034167LT,141-170G KD ORGANICS
019,Other Dinners,0190129034200QJ,KD Shaker 240G
019,Other Dinners,0190129034204ON,KD Shaker 500g
019,Other Dinners,0190129034206QW,KD SHAKER MODULAR/DISPLAY SHIPPER
022,Coatings,022004300293CL6,113G Kraft Shake 'N Bake Coating Mix
022,Coatings,022004300293CL7,140G Kraft Shake 'N Bake Coating Mix
022,Coatings,022004300293CL8,142G Kraft Shake 'N Bake Coating Mix
022,Coatings,022004300293CM1,163G Kraft Shake 'N Bake Coating Mix
022,Coatings,022004300293CM2,184G Kraft Shake 'N Bake Coating Mix
022,Coatings,022004300293CM3,192G Kraft Shake 'N Bake Coating Mix
022,Coatings,022004300293CM4,283G Kraft Shake 'N Bake Coating Mix
022,Coatings,022004300293CM6,730G Kraft Shake 'N Bake Coating Mix
022,Coatings,022004300293CM7,Kraft Shake 'N Bake Coating Mix Bins
022,Coatings,022004300293XB2,Shake N'Bake Modulars/Shippers
023,Mainstream Coffee,023011301520EY9,1kg MaxwellHouse Orgnl Coffee Caff
023,Mainstream Coffee,023011301520EZ3,910-925g Max HseColumbianSupreme Tin
023,Mainstream Coffee,023011301520EZ5,Maxwell House Large Tin
023,Mainstream Coffee,023011301520PS4,830g Maxwell House Squat Tin
023,Mainstream Coffee,023011301520VH6,1.32KG Maxwell House Master Roast
023,Mainstream Coffee,023011301528GK1,225g MaxwellHouseFlavoredCoffee Caff
023,Mainstream Coffee,023011301528GK2,225g Max Hse Filter Pack Coffee Caff
023,Mainstream Coffee,023011301528GK3,240g Caff MaxwellHouseFlavoredCoffee
023,Mainstream Coffee,023011301528GK4,255g Caff MaxwellHouseFlavoredCoffee
023,Mainstream Coffee,023011301528GK5,66g Maxwell House Filter Pack Coffee Caf
023,Mainstream Coffee,023011301528P17,HFD 34g Caff Maxwell House Flav Coffee
023,Mainstream Coffee,023011301619EZ6,311g Decaf Maxwell House Coffee
023,Mainstream Coffee,023011301619EZ7,311g Maxwell House Columbian Supreme Cof
023,Mainstream Coffee,023011301619EZ8,Maxwell House Flavored Small Tin
023,Mainstream Coffee,023011301619EZ9,326g MaxwellHouseBreakfastBlend Caff
023,Mainstream Coffee,023011301619FA1,326g Maxwell House Dark Roast Caff
023,Mainstream Coffee,023011301619GJ8,326g Maxwell House Original Coffee Caff
023,Mainstream Coffee,0230113016440TI,631G Maxwell House Medium Tin Colombian
023,Mainstream Coffee,0230113016440TJ,631G MH Medium Tin Breakfast Blnd
023,Mainstream Coffee,023011301644HX7,631g Maxwell House Original
023,Mainstream Coffee,023011301644HX8,HFD 631g Maxwell House Café Blend
023,Mainstream Coffee,023011301644HX9,HFD 631g Maxwell House Dark
023,Mainstream Coffee,023011301644HY0,HFD 631g Maxwell House Colombian
023,Mainstream Coffee,023011302581XA3,Maxwell House Modular/Display
023,Mainstream Coffee,0230113031355RD,180G Maxwell House Original
023,Mainstream Coffee,0230113031401RW,300G Maxwell House Original
023,Mainstream Coffee,0230113031401RX,280G Maxwell House
023,Mainstream Coffee,0230113P0113PLN,PLN SIZ Maxwell House Roast & Ground
023,Mainstream Coffee,023048801440DM2,250g Nabob Bag
023,Mainstream Coffee,023048801440DM3,311g Nabob Bag
023,Mainstream Coffee,023048801440DM4,326g Nabob Bag
023,Mainstream Coffee,023048801440DM5,350g Nabob Bag
023,Mainstream Coffee,023048801440GK6,HFD 1.24kg Nabob Bag
023,Mainstream Coffee,023048801440GK7,HFD 34g Nabob Bag
023,Mainstream Coffee,023048801441DM6,915g Nabob Tin
023,Mainstream Coffee,023048801441GK0,1k Nabob Tin
023,Mainstream Coffee,023048801441PT2,830g Nabob Squat Tin
023,Mainstream Coffee,0230488016578KU,300G Nabob R&G Bag
023,Mainstream Coffee,023048801657PP6,350G - 400G Nabob Bag
023,Mainstream Coffee,02304880258001D,NABOB 300G MODULAR/DISPLAY
023,Mainstream Coffee,02304880258001E,NABOB 930G MODULAR/DISPLAY
023,Mainstream Coffee,023048802580XA2,Nabob Modular/Display
023,Mainstream Coffee,0230488P0488PLN,PLN SIZ Nabob R&G Coffee
023,Mainstream Coffee,023055902557UJ0,312g Espresso Forte
023,Mainstream Coffee,023055902557UJ1,340g - 312g Second Cup Whole Bean
023,Mainstream Coffee,023055902557UJ3,340g Caramelo Bag
